index name x y z l
153 EElayerCell_02.0020.2 0.969948 -2.8 14.7525 2
154 EElayerCell_02.0021.2 -0.969948 2.8 14.7525 2
155 EElayerCell_02.0022.2 -0.969948 -2.8 14.7525 2
156 EElayerCell_02.0023.2 0.969948 3.92 14.7525 2
157 EElayerCell_02.0024.2 0.969948 -3.92 14.7525 2
158 EElayerCell_02.0025.2 -0.969948 3.92 14.7525 2
159 EElayerCell_02.0026.2 -0.969948 -3.92 14.7525 2
160 EElayerCell_02.0027.2 0.969948 5.04 14.7525 2
161 EElayerCell_02.0028.2 0.969948 -5.04 14.7525 2
162 EElayerCell_02.0029.2 -0.969948 5.04 14.7525 2
163 EElayerCell_02.0030.2 -0.969948 -5.04 14.7525 2
164 EElayerCell_02.0031.2 0.969948 6.16 14.7525 2
165 EElayerCell_02.0032.2 0.969948 -6.16 14.7525 2
166 EElayerCell_02.0033.2 -0.969948 6.16 14.7525 2
167 EElayerCell_02.0034.2 -0.969948 -6.16 14.7525 2
168 EElayerCell_02.0035.2 1.9399 0 14.7525 2
169 EElayerCell_02.0036.2 -1.9399 0 14.7525 2
170 EElayerCell_02.0037.2 1.9399 1.12 14.7525 2
171 EElayerCell_02.0038.2 1.9399 -1.12 14.7525 2
172 EElayerCell_02.0039.2 -1.9399 1.12 14.7525 2
173 EElayerCell_02.0040.2 -1.9399 -1.12 14.7525 2
174 EElayerCell_02.0041.2 1.9399 2.24 14.7525 2
175 EElayerCell_02.0042.2 1.9399 -2.24 14.7525 2
176 EElayerCell_02.0043.2 -1.9399 2.24 14.7525 2
177 EElayerCell_02.0044.2 -1.9399 -2.24 14.7525 2
178 EElayerCell_02.0045.2 1.9399 3.36 14.7525 2
179 EElayerCell_02.0046.2 1.9399 -3.36 14.7525 2
180 EElayerCell_02.0047.2 -1.9399 3.36 14.7525 2
181 EElayerCell_02.0048.2 -1.9399 -3.36 14.7525 2
182 EElayerCell_02.0049.2 1.9399 4.48 14.7525 2
183 EElayerCell_02.0050.2 1.9399 -4.48 14.7525 2
184 EElayerCell_02.0051.2 -1.9399 4.48 14.7525 2
185 EElayerCell_02.0052.2 -1.9399 -4.48 14.7525 2
186 EElayerCell_02.0053.2 1.9399 5.6 14.7525 2
187 EElayerCell_02.0054.2 1.9399 -5.6 14.7525 2
188 EElayerCell_02.0055.2 -1.9399 5.6 14.7525 2
189 EElayerCell_02.0056.2 -1.9399 -5.6 14.7525 2
190 EElayerCell_02.0057.2 2.90985 0.56 14.7525 2
191 EElayerCell_02.0058.2 2.90985 -0.56 14.7525 2
192 EElayerCell_02.0059.2 -2.90985 0.56 14.7525 2
193 EElayerCell_02.0060.2 -2.90985 -0.56 14.7525 2
194 EElayerCell_02.0061.2 2.90985 1.68 14.7525 2
195 EElayerCell_02.0062.2 2.90985 -1.68 14.7525 2
196 EElayerCell_02.0063.2 -2.90985 1.68 14.7525 2
197 EElayerCell_02.0064.2 -2.90985 -1.68 14.7525 2
198 EElayerCell_02.0065.2 2.90985 2.8 14.7525 2
199 EElayerCell_02.0066.2 2.90985 -2.8 14.7525 2
200 EElayerCell_02.0067.2 -2.90985 2.8 14.7525 2
201 EElayerCell_02.0068.2 -2.90985 -2.8 14.7525 2
202 EElayerCell_02.0069.2 2.90985 3.92 14.7525 2
203 EElayerCell_02.0070.2 2.90985 -3.92 14.7525 2
204 EElayerCell_02.0071.2 -2.90985 3.92 14.7525 2
205 EElayerCell_02.0072.2 -2.90985 -3.92 14.7525 2
206 EElayerCell_02.0073.2 2.90985 5.04 14.7525 2
207 EElayerCell_02.0074.2 2.90985 -5.04 14.7525 2
208 EElayerCell_02.0075.2 -2.90985 5.04 14.7525 2
209 EElayerCell_02.0076.2 -2.90985 -5.04 14.7525 2
210 EElayerCell_02.0077.2 2.90985 6.16 14.7525 2
211 EElayerCell_02.0078.2 2.90985 -6.16 14.7525 2
212 EElayerCell_02.0079.2 -2.90985 6.16 14.7525 2
213 EElayerCell_02.0080.2 -2.90985 -6.16 14.7525 2
214 EElayerCell_02.0081.2 3.87979 0 14.7525 2
215 EElayerCell_02.0082.2 -3.87979 0 14.7525 2
216 EElayerCell_02.0083.2 3.87979 1.12 14.7525 2
217 EElayerCell_02.0084.2 3.87979 -1.12 14.7525 2
218 EElayerCell_02.0085.2 -3.87979 1.12 14.7525 2
219 EElayerCell_02.0086.2 -3.87979 -1.12 14.7525 2
220 EElayerCell_02.0087.2 3.87979 2.24 14.7525 2
221 EElayerCell_02.0088.2 3.87979 -2.24 14.7525 2
222 EElayerCell_02.0089.2 -3.87979 2.24 14.7525 2
223 EElayerCell_02.0090.2 -3.87979 -2.24 14.7525 2
224 EElayerCell_02.0091.2 3.87979 3.36 14.7525 2
225 EElayerCell_02.0092.2 3.87979 -3.36 14.7525 2
226 EElayerCell_02.0093.2 -3.87979 3.36 14.7525 2
227 EElayerCell_02.0094.2 -3.87979 -3.36 14.7525 2
228 EElayerCell_02.0095.2 3.87979 4.48 14.7525 2
229 EElayerCell_02.0096.2 3.87979 -4.48 14.7525 2
230 EElayerCell_02.0097.2 -3.87979 4.48 14.7525 2
231 EElayerCell_02.0098.2 -3.87979 -4.48 14.7525 2
232 EElayerCell_02.0099.2 3.87979 5.6 14.7525 2
233 EElayerCell_02.0100.2 3.87979 -5.6 14.7525 2
234 EElayerCell_02.0101.2 -3.87979 5.6 14.7525 2
235 EElayerCell_02.0102.2 -3.87979 -5.6 14.7525 2
236 EElayerCell_02.0103.2 4.84974 0.56 14.7525 2
237 EElayerCell_02.0104.2 4.84974 -0.56 14.7525 2
238 EElayerCell_02.0105.2 -4.84974 0.56 14.7525 2
239 EElayerCell_02.0106.2 -4.84974 -0.56 14.7525 2
240 EElayerCell_02.0107.2 4.84974 1.68 14.7525 2
